station,lon,lat
Point_110,128.505096435547,39.088924407959
Point_111,81.9960784912109,72.1455993652344
Point_112,136.75,-64.2225189208984
Point_113,136.75,-60.5178337097168
Point_114,136.75,-56.3349456787109
Point_115,136.75,-51.6374168395996
Point_116,136.75,-46.3974609375
Point_117,136.75,-40.6013488769531
Point_118,136.75,-34.255500793457
Point_119,136.75,3.49782538414001
Point_120,136.75,11.4235544204712
Point_121,136.75,19.1340980529785
Point_122,136.747772216797,26.4811000823975
Point_123,136.704803466797,33.2555503845215
Point_124,136.520797729492,39.3503684997559
Point_125,84.5833206176758,75.6818008422852
Point_126,144.75,-64.2225189208984
Point_127,144.75,-60.5178337097168
Point_128,144.75,-56.3349456787109
Point_129,144.75,-51.6374168395996
Point_130,144.75,-46.3974609375
Point_131,144.75,-40.6013488769531
Point_132,144.75,-12.4020042419434
Point_133,144.75,3.49782538414001
Point_134,144.75,11.4235544204712
Point_135,144.75,19.1340980529785
Point_136,144.748107910156,26.4896869659424
Point_137,144.711380004883,33.3305702209473
Point_138,144.552261352539,39.5782356262207
Point_139,144.156234741211,45.2600898742676
Point_140,142.163040161133,55.2671546936035
Point_141,118.618576049805,74.9746627807617
Point_142,105.730926513672,77.5919189453125
Point_143,88.6689071655273,79.1897125244141
Point_144,152.75,-67.4875106811523
Point_145,152.75,-64.2225189208984
Point_146,152.75,-60.5178337097168
Point_147,152.75,-56.3349456787109
Point_148,152.75,-51.6374168395996
Point_149,152.75,-46.3974609375
Point_150,152.75,-40.6013488769531
Point_151,152.75,-34.255500793457
Point_152,152.75,-20.0761108398438
Point_153,152.75,-12.4020042419434
Point_154,152.75,3.49782538414001
Point_155,152.75,11.4235544204712
Point_156,152.75,19.1340980529785
Point_157,152.748550415039,26.496618270874
Point_158,152.720321655273,33.3909149169922
Point_159,152.597061157227,39.7602958679199
Point_160,152.28840637207,45.6201820373535
Point_161,151.699768066406,51.0283241271973
Point_162,150.730895996094,56.0562782287598
Point_163,138.915878295898,73.5344314575195
Point_164,131.038757324219,77.2639846801758
Point_165,117.845031738281,80.4452819824219
Point_166,96.2917175292969,82.5966033935547
Point_167,160.75,-67.4875183105469
Point_168,160.75,-64.2225189208984
Point_169,160.75,-60.5178337097168
Point_170,160.75,-56.3349456787109
Point_171,160.75,-51.6374168395996
Point_172,160.75,-46.3974609375
Point_173,160.75,-40.6013488769531
Point_174,160.75,-34.255500793457
Point_175,160.75,-27.392578125
Point_176,160.75,-20.0761108398438
Point_177,160.75,-12.4020042419434
Point_178,160.75,-4.49538087844849
Point_179,160.75,3.49782538414001
Point_180,160.75,11.4235544204712
Point_181,160.75,19.1340980529785
Point_182,160.749069213867,26.501537322998
Point_183,160.730865478516,33.4335708618164
Point_184,160.651306152344,39.8879890441895
Point_185,160.452560424805,45.8699798583984
Point_186,160.076614379883,51.4180679321289
Point_187,158.551696777344,61.451171875
Point_188,152.317687988281,74.7671279907227
Point_189,147.375106811523,78.848030090332
Point_190,137.837860107422,82.6139144897461
Point_191,114.992858886719,85.6664505004883
Point_192,168.432830810547,-74.8712005615234
Point_193,168.743377685547,-70.3320007324219
Point_194,168.75,-67.4875335693359
Point_195,168.75,-64.2225189208984
Point_196,168.75,-60.5178337097168
Point_197,168.75,-56.3349456787109
Point_198,168.75,-51.6374168395996
Point_199,168.75,-40.6013488769531
Point_200,168.75,-34.255500793457
Point_201,168.75,-27.392578125
Point_202,168.75,-20.0761108398438
Point_203,168.75,-12.4020042419434
Point_204,168.75,-4.49538087844849
Point_205,168.75,3.49782538414001
Point_206,168.75,11.4235544204712
Point_207,168.75,19.1340980529785
Point_208,168.749618530273,26.5042495727539
Point_209,168.742126464844,33.456901550293
Point_210,168.710037231445,39.9567947387695
Point_211,168.632629394531,46.0015640258789
Point_212,168.494476318359,51.6170921325684
Point_213,168.289016723633,56.851448059082
Point_214,167.327011108398,70.9121398925781
Point_215,166.96647644043,75.2440643310547
Point_216,166.709259033203,79.4329681396484
Point_217,166.870483398438,83.4327545166016
Point_218,169.208740234375,87.1474456787109
Point_219,176.48046875,-74.9660873413086
Point_220,176.686294555664,-72.8163375854492
Point_221,176.74446105957,-70.3391189575195
Point_222,176.75,-67.4875411987305
Point_223,176.75,-64.2225189208984
Point_224,176.75,-60.5178337097168
Point_225,176.75,-56.3349456787109
Point_226,176.75,-51.6374168395996
